1,1,1,1,5,5,5,5,9,9,9,9,13,13,13,13
1,1,1,1,5,5,5,5,9,9,9,9,13,13,13,13
1,1,1,1,5,5,5,5,9,9,9,9,13,13,13,13
1,1,1,1,5,5,5,5,9,9,9,9,13,13,13,13
2,2,2,2,6,6,6,6,10,10,10,10,14,14,14,14
2,2,2,2,6,6,6,6,10,10,10,10,14,14,14,14
2,2,2,2,6,6,6,6,10,10,10,10,14,14,14,14
2,2,2,2,6,6,6,6,10,10,10,10,14,14,14,14
3,3,3,3,7,7,7,7,11,11,11,11,15,15,15,15
3,3,3,3,7,7,7,7,11,11,11,11,15,15,15,15
3,3,3,3,7,7,7,7,11,11,11,11,15,15,15,15
3,3,3,3,7,7,7,7,11,11,11,11,15,15,15,15
4,4,4,4,8,8,8,8,12,12,12,12,16,16,16,16
4,4,4,4,8,8,8,8,12,12,12,12,16,16,16,16
4,4,4,4,8,8,8,8,12,12,12,12,16,16,16,16
4,4,4,4,8,8,8,8,12,12,12,12,16,16,16,16
